proc,L1_kB,A_L1_single_32,A_L1_total_32,A_L1_total_28,A_L2_32,A_L2_28,A_core_noL1_28,A_total_new_28
A15,2,0.012723496,0.025446991,0.019482853,0.417846398,0.319913648,1.928552447,2.267948948
A15,4,0.006049857,0.012099713,0.009263843,0.417846398,0.319913648,1.928552447,2.257729938
A15,8,0.016666557,0.033333114,0.025520666,0.417846398,0.319913648,1.928552447,2.273986761
A15,16,0.018531631,0.037063261,0.028376559,0.417846398,0.319913648,1.928552447,2.276842655
A15,32,0.046659627,0.093319253,0.071447553,0.417846398,0.319913648,1.928552447,2.319913649
A7,1,0.00522114,0.01044228,0.007994871,0.484599328,0.371021361,0.378825005,0.757841236
A7,2,0.012941442,0.025882885,0.019816584,0.484599328,0.371021361,0.378825005,0.769662949
A7,4,0.007536391,0.015072782,0.011540099,0.484599328,0.371021361,0.378825005,0.761386465
A7,8,0.016611711,0.033223421,0.025436682,0.484599328,0.371021361,0.378825005,0.775283048
A7,16,0.025131406,0.050262812,0.038482466,0.484599328,0.371021361,0.378825005,0.788328831
A7,32,0.04648163,0.092963259,0.071174995,0.484599328,0.371021361,0.378825005,0.821021361
